Timestamp,Enter the grade associated with course ?  [CMSC131],Enter the grade associated with course ?  [CMSC132],Enter the grade associated with course ?  [CMSC216],Enter the grade associated with course ?  [CMSC250],Enter the grade associated with course ?  [CMSC330],Enter the grade associated with course ?  [CMSC351],Enter the grade associated with course ?  [MATH140],Enter the grade associated with course ?  [MATH141],Enter the grade associated with course ?  [MATH240],Enter the grade associated with course ?  [MATH241],Enter the grade associated with course ?  [STAT400],Computer Science Track,Have you taken upper level CS classes ? (CMSC4xx),Area 1 Courses [CMSC411],Area 1 Courses [CMSC412],Area 1 Courses [CMSC414],Area 1 Courses [CMSC416],Area 1 Courses [CMSC417],Area 2 Courses [CMSC420],Area 2 Courses [CMSC421],Area 2 Courses [CMSC422],Area 2 Courses [CMSC423],Area 2 Courses [CMSC424],Area 2 Courses [CMSC426],Area 2 Courses [CSMC427],Area 2 Courses [CMSC470],Area 3 Courses [CMSC430],Area 3 Courses [CMSC433],Area 3 Courses [CMSC434],Area 3 Courses [CMSC435],Area 3 Courses [CMSC436],Area 4 Courses [CMSC451],Area 4 Courses [CMSC452],Area 4 Courses [CMSC454],Area 4 Courses [CMSC456],Area 4 Courses [CMSC457],Area 5 Courses [CMSC460],Area 5 Courses [CMSC466],Other CMSC Courses [CMSC320],Other CMSC Courses [CMSC425],Other CMSC Courses [CMSC472],Other CMSC Courses [CMSC473],Other CMSC Courses [CMSC474],Other CMSC Courses [CMSC475],Graduation Status
11/15/2021 8:32:47,Not Attempted,A+,A+,B+,A+,A,Not Attempted,A,A,A+,A+,Data Science,Yes,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,B,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,A+,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Completed
11/15/2021 8:46:47,B+,C+,B,B+,Not Attempted,Not Attempted,A,A,A-,Not Attempted,A,Cyber Security,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2021 8:52:49,A-,B+,A-,B,A-,B+,Not Attempted,Not Attempted,B+,B,A+,General,Yes,,,B,,,,,,,B+,,,,,,,A,A-,,,,B+,,,,,,,,,,Graduated
11/15/2021 9:08:33,A,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,A,Not Attempted,Not Attempted,Not Attempted,Not Attempted,General,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2021 10:34:48,B+,B+,B-,B+,B+,Not Attempted,A+,B+,C+,Not Attempted,Not Attempted,General,Yes,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,A+,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Completed
11/15/2021 11:21:52,A-,A,B+,A-,A,A,A,A,Not Attempted,A-,A-,General,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2021 11:25:48,A,B+,A+,A+,A+,A-,A+,A+,B+,A+,A+,Machine Learning,Yes,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,A,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,A+,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Completed
11/15/2021 11:46:05,A-,A-,B+,B,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,B+,Cyber Security,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2021 12:01:45,A+,Not Attempted,Not Attempted,Not Attempted,Not Attempted,Not Attempted,A,A,Not Attempted,Not Attempted,Not Attempted,General,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2021 12:09:13,Not Attempted,A-,C,B+,B+,C,Not Attempted,Not Attempted,Not Attempted,Not Attempted,A,General,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
